"date","sp500_price","sp500_price_return","sp500_gross","sp500_gross_return","sp500_net","sp500_net_return"
1885-02-16,1.97089,NA,0.21772,NA,0.61299,NA
1885-02-17,1.9962,1.01284293952508,0.22053,1.012917014787,0.6209,1.01289366629325
1885-02-18,2.00442,1.00411883373338,0.22145,1.00418526462717,0.62348,1.00415586528059
1885-02-19,2.01659,1.00607047193948,0.22281,1.00614205893785,0.62729,1.00611273568992
1885-02-20,2.00147,0.992502912938597,0.22116,0.992567748668507,0.62261,0.992543496698777
1885-02-21,2.03009,1.01430026789835,0.22434,1.01437478120543,0.63155,1.01435251439467
1885-02-22,2.04204,1.00588459245484,0.22567,1.00595593715425,0.63529,1.00592648924393
1885-02-23,2.0444,1.00115510649706,0.22594,1.00120336727837,0.63604,1.00118171768439
1885-02-24,2.05648,1.00590916949769,0.22729,1.00598054849869,0.63983,1.00595111607497
1885-02-25,2.08807,1.01536267097819,0.2308,1.01543750702352,0.64969,1.01541598036297
1885-02-26,2.05663,0.984944510360143,0.22735,0.985035809193133,0.63994,0.984993587975586
1885-02-27,2.02214,0.983227786482007,0.22356,0.983323701838186,0.62924,0.983278610864871
1885-02-28,2.03006,1.00391892276775,0.22445,1.0039844113195,0.63173,1.00395520880308
1885-03-01,2.03381,1.00184725741405,0.22487,1.00189962183415,0.63291,1.00187550169154
1885-03-02,2.03282,0.999511124757802,0.22477,0.999554820270148,0.63262,0.999537209603749
1885-03-03,2.02618,0.996732522280779,0.22405,0.996780537343274,0.63057,0.9967654448021
1885-03-04,2.01045,0.992238282468716,0.22233,0.992304219876539,0.6257,0.992279188135761
1885-03-05,2.02323,1.00635495842334,0.22376,1.00642684603419,0.62971,1.00639774366418
1885-03-06,2.01923,0.998024458587498,0.22332,0.998069320759531,0.62848,0.998053549566659
1885-03-07,2.04905,1.01476921087599,0.22664,1.01484386628816,0.6378,1.01482193117618
1885-03-08,2.05314,1.00199554306741,0.2271,1.00204887807872,0.63909,1.00202424455573
1885-03-09,2.05442,1.00062294005349,0.22726,1.00066882419891,0.6395,1.00064887279005
1885-03-10,2.05479,1.00017973559697,0.22731,1.0002243208599,0.63963,1.00020548836114
1885-03-11,2.06815,1.00650436859155,0.2288,1.00657638425062,0.64382,1.00654741007042
1885-03-12,2.05033,0.991380479013256,0.22684,0.99144989794134,0.6383,0.991422410986353
1885-03-13,2.03614,0.993077744771712,0.22529,0.993140143336277,0.63391,0.993117605741916
1885-03-14,2.04495,1.00432936701449,0.22628,1.00439669141997,0.63668,1.00436713526598
1885-03-15,2.04541,1.00022271239036,0.22634,1.0002673973453,0.63683,1.00024846796762
1885-03-16,2.03658,0.995684892811758,0.22537,0.99573647326185,0.63411,0.99572041694901
1885-03-17,2.0163,0.990042510891682,0.22315,0.990117089381824,0.62782,0.990086008139211
1885-03-18,2.00543,0.99461034544829,0.22196,0.994666194055327,0.62446,0.994647946551746
1885-03-19,1.98148,0.988056067241541,0.21932,0.988137707164733,0.61703,0.988101810220698
1885-03-20,1.97718,0.99783142670352,0.21886,0.997876652702484,0.61571,0.997861076126815
1885-03-21,1.95199,0.987259019388776,0.21609,0.987343294742083,0.6079,0.987305637610744
1885-03-22,1.95919,1.00368975620963,0.2169,1.00375404751294,0.61016,1.00372513989988
1885-03-23,1.9664,1.00367512523223,0.21771,1.00373933605239,0.61242,1.00371044993651
1885-03-24,1.94546,0.989351063977729,0.21541,0.989428180980905,0.60593,0.989395353443061
1885-03-25,1.96103,1.00800773522488,0.21715,1.00808039677196,0.61081,1.0080528945472
1885-03-26,1.9766,1.00793939804216,0.21889,1.00801204005522,0.61569,1.00798447229957
1885-03-27,1.97726,1.00033166277173,0.21897,1.000376625162,0.61591,1.00035743929549
1885-03-28,1.97472,0.998715080717062,0.2187,0.998759004777657,0.61513,0.99874242351259
1885-03-29,1.96398,0.994562755421671,0.21752,0.994618802542933,0.61181,0.994600437308785
1885-03-30,1.95324,0.994529912744693,0.21635,0.994586097205976,0.60849,0.994567649897622
1885-03-31,1.9597,1.00330928842943,0.21707,1.00337135351345,0.61052,1.00334310384454
1885-04-01,1.96181,1.0010764814353,0.21732,1.00112433928497,0.61119,1.00110296030866
1885-04-02,1.96508,1.00166534688563,0.21769,1.00171655437337,0.61223,1.00169308145566
1885-04-03,1.9645,0.999706518230589,0.21764,0.999750352360113,0.61207,0.999732435299368
1885-04-04,1.96378,0.999633008618298,0.21757,0.999676779786907,0.61186,0.999658982114535
1885-04-05,1.96306,0.999631626145483,0.2175,0.999675396257683,0.61165,0.999657600780532
1885-04-06,1.96219,0.999556767808939,0.21741,0.999600487568554,0.61139,0.999582808368193
1885-04-07,1.93789,0.987616728537205,0.21474,0.98769983501366,0.60385,0.987662955769593
1885-04-08,1.94436,1.00333723373074,0.21547,1.00339947079627,0.60588,1.00337116601139
1885-04-09,1.99075,1.02386253304492,0.22062,1.02394005037759,0.62038,1.02392303330553
1885-04-10,1.97073,0.989943244303267,0.21842,0.990018192558894,0.61417,0.989986855980013
1885-04-11,2.00273,1.01623585387421,0.22198,1.016310957297,0.62417,1.01629000876983
1885-04-12,2.00223,0.999749206384001,0.22194,0.999793083320895,0.62403,0.99977509441427
1885-04-13,2.00172,0.999749115286201,0.22189,0.999792992126757,0.62389,0.999775003375511
1885-04-14,2.00967,1.00396695149324,0.22279,1.00403267506797,0.62639,1.00400342062022
1885-04-15,2.04435,1.01725941238258,0.22665,1.01733483163952,0.63723,1.01731452649773
1885-04-16,2.02648,0.991259805454989,0.22468,0.991329703220335,0.63169,0.991301880363857
1885-04-17,2.01379,0.993735397563091,0.22329,0.993794965635768,0.62776,0.993774364309483
1885-04-18,2.0023,0.994293789107467,0.22203,0.994350968364929,0.6242,0.994331912411311
1885-04-19,2.00803,1.00286254825361,0.22268,1.00292173285183,0.62601,1.00289449929231
1885-04-20,2.01376,1.00285388902397,0.22333,1.00291301590567,0.62781,1.00288580443103
1885-04-21,2.00917,0.997718859783939,0.22283,0.997764316884478,0.6264,0.99774884301417
1885-04-22,2.01475,1.0027817981252,0.22346,1.00284044261178,0.62816,1.00281341833314
1885-04-23,2.01715,1.00119049589795,0.22374,1.00123894314222,0.62893,1.00121717022948
1885-04-24,2.0084,0.995658461528413,0.22278,0.995710140780087,0.62622,0.995694043259328
1885-04-25,2.00644,0.999024212943376,0.22257,0.999067919446888,0.62563,0.999050959823039
1885-04-26,2.00756,1.00056236776898,0.2227,1.00060803809628,0.62599,1.00058825573997
1885-04-27,2.01066,1.0015403661212,0.22306,1.00159080617061,0.62698,1.0015677835004
1885-04-28,2.01508,1.00220054782553,0.22356,1.002255253053,0.62837,1.00222993948271
1885-04-29,2.01748,1.00119049589795,0.22384,1.00123894314222,0.62914,1.00121717022948
1885-04-30,2.02335,1.00291076464734,0.2245,1.00297026963156,0.63099,1.00294291469107
1885-05-01,2.01065,0.993723361164428,0.22311,0.993782981060112,0.62705,0.99376234513902
1885-05-02,2.00577,0.997569033231027,0.22258,0.997614818752764,0.62555,0.997599466972338
1885-05-03,1.98224,0.988270386995836,0.21998,0.9883512990724,0.61824,0.988315892122246
1885-05-04,1.95869,0.988122166109449,0.21739,0.988203582426589,0.61092,0.988167835845579
1885-05-05,1.94961,0.995362597670734,0.21639,0.995415407155098,0.60811,0.995398800055847
1885-05-06,1.96889,1.00988733329237,0.21855,1.00996053704412,0.61415,1.00993475435749
1885-05-07,1.94944,0.990124853000889,0.2164,0.990199123409413,0.60812,0.990168255151343
1885-05-08,1.97513,1.01317555875179,0.21927,1.01324973351386,0.61616,1.01322663871944
1885-05-09,1.98856,1.00680161800076,0.22078,1.00687383743861,0.62038,1.00684513747796
1885-05-10,1.97812,0.994749363701845,0.21963,0.99480463601235,0.61714,0.994786723936353
1885-05-11,1.96767,0.994718701366795,0.21848,0.994774100305072,0.61391,0.994756115365867
1885-05-12,1.95949,0.995841822927101,0.21759,0.995892824664486,0.61138,0.995876997546871
1885-05-13,1.95957,1.00003941767956,0.21761,1.00008371496249,0.61142,1.00006518230096
1885-05-14,1.95965,1.00003941767956,0.21762,1.00008371496249,0.61146,1.00006518230096
1885-05-15,1.97279,1.00670620206494,0.2191,1.00677836277853,0.61558,1.00674957241334
1885-05-16,1.98225,1.00479629569293,0.22016,1.00486526865784,0.61856,1.00483553109042
1885-05-17,1.98509,1.00143091171976,0.22049,1.00148070161727,0.61946,1.0014580735816
1885-05-18,1.98618,1.00055079926916,0.22062,1.00059643010336,0.61982,1.00057667943425
1885-05-19,1.98655,1.00018808761759,0.22067,1.00023269182766,0.61995,1.00021384068943
1885-05-20,1.97717,0.995275410831583,0.21964,0.995328561312333,0.61704,0.995311788010455
1885-05-21,1.98815,1.0055547869943,0.22088,1.00562559833768,0.6205,1.00559597556447
1885-05-22,2.00251,1.00722091949681,0.22249,1.00729333817278,0.62501,1.00726505298355
1885-05-23,2.00986,1.0036716061686,0.22332,1.00373579756292,0.62732,1.00370691666443
1885-05-24,1.99729,0.993746650152373,0.22194,0.99380616978341,0.62342,0.993785600759382
1885-05-25,1.98472,0.993703457183282,0.22055,0.993763162791046,0.61952,0.993742469567651
1885-05-26,1.99237,1.00385586082169,0.22142,1.00392103231232,0.62193,1.00389190302312
1885-05-27,1.98237,0.994984017071162,0.22032,0.995038330325774,0.61884,0.995020953373673
1885-05-28,1.976,0.996782877339978,0.21962,0.996830740852512,0.61687,0.996815657727193
1885-05-29,1.96204,0.992935065751517,0.21808,0.992998074363991,0.61253,0.992975110116113
1885-05-30,1.9534,0.995597739107762,0.21713,0.995649646742403,0.60986,0.995633451790373
